,coffee_title,review_text,more_information
0,Cerutti Â«il CaffÃ¨Â» Milano,"Vollmundig, gehaltvoll, schokoladig und leicht nussig im Geschmack.",https://kaffeezentrale.at/de/marken/cerutti/Milano_1000.cfm
1,New York Extra (Bluemountain) ,"schokoladig, voll, rund, lang anhaltend",https://kaffeezentrale.at/de/marken/new-york/Extra_Bluemountain_1000.cfm
2,BlasercafÃ© Lilla e Rose,"Ausgesprochen angenehm rund, aber sehr wuchtig",https://kaffeezentrale.at/de/marken/blasercafe/Lilla_e_Rose_1000.cfm
3,Black and Blaze Premium,"Schokoladig, zartbitter, sehr sÃ¼ss und vollmundig",https://kaffeezentrale.at/de/marken/black-and-blaze/Premium-1000.cfm
4,CaffÃ¨ Ferrari Espresso Milano,"kraftvoll, aromatisch, sÃ¤urearm, lang anhaltend",https://kaffeezentrale.at/de/marken/caffe-ferrari/Milano_1000.cfm
5,New York XXXX,"intensiv, vornehm, aromatisch, schokoladig",https://kaffeezentrale.at/de/marken/new-york/Extra_XXXX_1000.cfm
6,Rast Kaffeemischung Premium,Zusammengestellt aus den besten Arabicas der Welt,https://kaffeezentrale.at/de/marken/rast/Kaffeemischung_Premium_1000.cfm
7,Quarta CaffÃ¨ Argento ,"Stark, Ã¶lig dunkle Bohnen, sÃ¼ss mit rauchigen vollmundigen Abgang",https://kaffeezentrale.at/de/marken/quarta-caffe/Argento-1000.cfm
8,CaffÃ¨ Ferrari Espresso Napoli,"kraftvoll, wÃ¼rzig, rassig, lang anhaltend",https://kaffeezentrale.at/de/marken/caffe-ferrari/Napoli_1000.cfm
9,BlasercafÃ© Rosso e Nero,"KrÃ¤ftig und intensiv, wuchtig aber sehr gut abgerundet",https://kaffeezentrale.at/de/marken/blasercafe/Rosso_e_nero_1000.cfm
10,LucaffÃ¨ Mister Exklusive,"sÃ¼ss, samtig mit Noten von Schokolade und einem vollen Abgang",https://kaffeezentrale.at/de/marken/lucaffe/Exklusive_1000.cfm
11,Tre Forze Espresso,"schokoladig, nussig, samtig und schonend",https://kaffeezentrale.at/de/marken/tre-forze/Espresso-1000.cfm
12,Claro Baraza,"krÃ¤ftig, erdig, brotig und lang anhaltend",https://kaffeezentrale.at/de/marken/claro/Baraza_500.cfm
13,BlasercafÃ© Marrone,"SÃ¼ss, mild Aromen mit Noten von dunkler Schokolade, gerÃ¶stete Mandeln, Lebkuchen und Bratapfel",https://kaffeezentrale.at/de/marken/blasercafe/Marrone_1000.cfm
14,Rast Espressomischung Milano,Zusammengestellt aus den besten Arabicas und dem besten Robusta,https://kaffeezentrale.at/de/marken/rast/Espressomischung_Milano_1000.cfm
15,Mauro Special Bar 20/80," Intensiv, krÃ¤ftig und schokoladig",https://kaffeezentrale.at/de/marken/mauro/Espresso-Bar-1000.cfm
16,LucaffÃ¨ Classic,"sÃ¼ss, schokoladig, weich, mit anhaltendem Abgang",https://kaffeezentrale.at/de/marken/lucaffe/Classic_1000.cfm
17,Diemme Miscela Oro,"Aromen von Schokolade, Vanille, leicht sÃ¼ss und lang anhaltend",https://kaffeezentrale.at/de/marken/diemme/Miscela-Oro-1000.cfm
18,Segafredo Extra Strong,"edel, schokoladig, lang anhaltend und harmonisch.",https://kaffeezentrale.at/de/marken/segafredo/Extra_Strong_1000.cfm
19,Passalacqua Mehari,"Schokoladig, malzig, krÃ¤ftig mit komplexen KÃ¶rper und einer dunkle Crema.",https://kaffeezentrale.at/de/marken/passalacqua/Mehari-1000.cfm
20,Rast Kaffeemischung Wiener,KrÃ¤ftige Mischung aus den besten Arabicas,https://kaffeezentrale.at/de/marken/rast/Kaffeemischung_Wiener_1000.cfm
21,"Henauer Kaffee Camocim Crema, Brasilien","Leicht, komplex, ausgewogen mit Noten von Cassis, Schwarztee und Kakao",https://kaffeezentrale.at/de/marken/henauer-kaffee/Camocim-1000.cfm
22,New York Extra (Bluemountain) ,"schokoladig, voll, rund, lang anhaltend",https://kaffeezentrale.at/de/marken/new-york/Extra_Bluemountain_250.cfm
23,Passalacqua Harem,"Mild, sÃ¼ss, harmonisch und leicht fruchtig.",https://kaffeezentrale.at/de/marken/passalacqua/Harem-1000.cfm
24,Chicco d'Oro Tradition,"Cremig, wÃ¼rzig und angenehm schweizerisch",https://kaffeezentrale.at/de/marken/chicco-doro/Tradition_1000.cfm
25,CaffÃ¨ Ferrari Grossmutters KÃ¤feli,"mild, aromatisch, sÃ¤urearm, lang anhaltend",https://kaffeezentrale.at/de/marken/caffe-ferrari/Grossmutters_Kaefeli_1000.cfm
26,BlasercafÃ© Lussuria,"Schokoladig, nussig, sÃ¼ss, lang anhaltend",https://kaffeezentrale.at/de/marken/blasercafe/Lussuria_1000.cfm
