coffee_title,roaster,coffee_origin,coffee_region,variety,roast_level,flavor
Kenya Ichamama,Panther Coffee Roasters,Kenya,Nyeri,"SL-28, SL-34, Ruiru 11, Batian",Light,nectarine    jasmine    bright
Papua New Guinea AAK Cooperative,Sightglass Coffee,Papua New Guinea,"Obura-Wonenara, Eastern Highlands","Bourbon, Caturra",Medium,pomegranate    lemon    complex
Cold Brew ,Barefoot Coffee Roasters,Guatemala,Huehuetenango,not disclosed,Medium,chocolate    citrus    rich
Capital Cold Brew Blend,Temple Coffee,"Brazil, Colombia, Ethiopia","Campos Altos, Guji, Huila",not disclosed,Medium,cherry    milk chocolate    vibrant
Ethiopia Dur Feres,Methodical Coffee,Ethiopia,Sidama,"74/158, 74/110, Setami, Mikicho",Medium-light,blueberry    blackberry    juicy
Bona Fide,Goshen Coffee Company,Various,Latin America,not disclosed,Medium,chocolate    berries    syrupy
Nicaragua Josefina & Mario,Dawson Taylor Coffee Roasters,Nicaragua,"Jinotega, Nicaragua","Catuaí, Caturra Estrella",Medium-light,peach    orange blossom    juicy
Bright Blend,Kuma Coffee,"Ethiopia, Kenya","Guji, Yirgacheffe, Nyeri","Ethiopian heirloom, SL-28, SL-34",Medium,citrus    berries    bright
Double Star Decaf,Cartel Roasting Co.,Mexico,"La Concordia, Mexico","Mundo Novo, Catuaí, Caturra & Catimor",Medium,cocoa    almond    balanced
Pink Lady Blend,Methodical Coffee,Ethiopia,"Guji, Sidama","Ethiopian heirloom, 74/158, 74/110, Setami, Mikicho",Medium,citrus    berries    vibrant
Leticia Lopez Honey Process,Alma Coffee,Honduras,Copan,Parainema,Light,red grape    black tea    complex
Tulsa Time Blend,Topeca Coffee Roasters,"Burundi, Ethiopia",not disclosed,"Ethiopian heirloom, Bourbon",Medium,berries    citrus    vibrant
Ethiopia Limu Gera,Kaldi's Coffee Roasting Co,Ethiopia,Limu,Ethiopian heirloom,Medium-light,apricot    citrus    delicate
Bright Eyed Breakfast,Goshen Coffee Company,Various,"Africa, Latin America",Various,Medium-light,brown sugar    almond    vibrant
Sumatra Pantan Musara,Sisters Coffee Company,Sumatra,Aceh,"Catimor, Gayo 1 & 2",Medium-light,molasses    cardamom    velvety
Fresh Perspective Ethiopia,Greater Goods Coffee Roasters,Ethiopia,"Shakiso, Guji",Ethiopian heirloom,Light,blueberry    strawberry    juicy
Panorama Organic Blend,Wonderstate Coffee,Ethiopia,Gedeb,not disclosed,Medium,orange    floral    bright
Southern Weather Blend,Onyx Coffee Lab,"Colombia, Ethiopia",not disclosed,not disclosed,Medium-light,chocolate    citrus    juicy
Heartstrings Organic Blend,Wonderstate Coffee,Ethiopia,"Gedeb, Gera",not disclosed,Medium,chocolate    dried fruit    complex
Decaf Vagabond Espresso Blend,Evans Brothers Coffee Roasters,"Brazil, Ethiopia, Sumatra",not disclosed,not disclosed,Medium,caramel    baking spices    bold
Decaf Espresso,Topeca Coffee Roasters,Colombia,not disclosed,"Castillo, Caturra, Colombia",Medium,chocolate    stone fruit    balanced
Little Italy Blend,Bird Rock Coffee Roasters,"Guatemala, Brazil",South America,Blend,Medium,cacao    macadamia    rich
Ethiopia Yirgacheffe Kochere,Alma Coffee,Ethiopia,"Kochere, Yirgacheffe",Ethiopian heirloom,Light,orange    lavender    delicate
Leticia Lopez Natural Process,Alma Coffee,Honduras,Copan,Parainema,Light,raspberry    cherry    juicy
Ethiopia Yirgacheffe Misty Valley,Dawson Taylor Coffee Roasters,Ethiopia,Yirgacheffe,Ethiopian Heirloom,Medium-light,stone fruit    berries    sparkling
Half Calf Blend,Tony's Coffee,"Peru, Nicaragua, Colombia, El Salvador, Guatemala, Honduras, Mexico",not disclosed,not disclosed,Medium,toffee    almond    rich
Sun Bear Iced Coffee Blend,Kuma Coffee,"Central America, Africa",not disclosed,not disclosed,Medium-light,chocolate    berries    refreshing
Galactic Standard Espresso Blend,Brandywine Coffee Roasters,"Colombia, Burundi, Ethiopia",not disclosed,not disclosed,Light,berries    citrus    bright
Costa Rica La Pastora,Methodical Coffee,Costa Rica,Tarrazu,"Caturra, Catuaí",Medium,plum    ginger    juicy
Sweetheart Single Origin Espresso,Olympia Coffee Roasting Co,Changes seasonally,Peru,not disclosed,Medium,milk chocolate    berries    balanced
Decaf Café Carmelita FTO,Tony's Coffee,Central and South America,not disclosed,not disclosed,Medium-dark,chocolate    caramel    full bodied
Headwall Espresso,Evans Brothers Coffee Roasters,"Brazil, Colombia, Ethiopia",not disclosed,not disclosed,Medium-light,chocolate    fruity    complex
Play Nice Blend,Methodical Coffee,"Colombia, Ethiopia","Tolima, Sidama","Caturra, Castillo, 74/158, 74/110, Setami, Mikicho",Medium,brown sugar    berries    juicy
Ethiopia Colorized Blend,Metric Coffee Co.,Ethiopia,Guji,Ethiopian heirloom,Light,grape    wildflower    vibrant
Ethiopia Ardi Natural,Portola Coffee Roasters,Ethiopia,Sidama,Ethiopian heirloom,Light,berries    honeysuckle    juicy
Ethiopia Yebesele Natural,Goshen Coffee Company,Ethiopia,"Aricha, Yirgacheffe",Ethiopian heirloom,Light,berries    citrus zest    juicy
Geometry Blend,Onyx Coffee Lab,"Ethiopia, Colombia","Oromia, Nariño","Caturra, Bourbon, Ethiopian heirloom",Medium-light,chocolate    fruity    rich
Ethiopia Organic Tatatu Natural,Cartel Roasting Co.,Ethiopia,"Gedeb, Yirgacheffe",Ethiopian heirloom,Light,blueberry    cocoa    juicy
Monkey Bite Espresso,Bird Rock Coffee Roasters,"Ethiopia, Brazil, Colombia",not disclosed,not disclosed,Medium,brown sugar    dried fruit    vibrant
Orion Espresso,Spyhouse Coffee Roasting Co,"Brazil, Ethiopia and Guatemala",not disclosed,various,Medium-light,chocolate    dark berries    rich
Organic Blueboon,Sightglass Coffee,"Colombia, Ethiopia","Central America, East Africa",not disclosed,Medium,milk chocolate    mandarin    balanced
Frio Cold Brew,Alma Coffee,Honduras,Copan,Parainema,Medium-dark,chocolate    nutty    rich
Owl's Howl,Sightglass Coffee,"Colombia, Ethiopia","Latin America, East Africa",not disclosed,Medium,chocolate    stone fruit    rich
Colombia Bubble Gum,Dawson Taylor Coffee Roasters,Colombia,Caldas,Caturra,Light,raspberry    kiwi    juicy
Fall Line Espresso,Evans Brothers Coffee Roasters,"Brazil, Colombia, Guatemala",not disclosed,not disclosed,Medium,chocolate    caramel    rich
Belly Warmer Blend,Methodical Coffee,"Costa Rica, Brazil","Tarrazu, São Paulo",not disclosed,Medium,dark chocolate    almond    rich
Sound & Vision Blend,Huckleberry Roasters,"East Africa, Latin America",not disclosed,"Caturra, Ethiopian Heirloom, Bourbon, Typica",Medium,caramel    nutty    syrupy
Soulmate,Alma Coffee,Honduras,Copan,Parainema,Medium,milk chocolate    walnut    balanced
Phantom Limb Blend,Huckleberry Roasters,Ethiopia,"Yirgacheffe, Sidamo",Ethiopian hierloom,Medium,fruity    citrus    bright
Big Dipper Organic Blend,Wonderstate Coffee,Guatemala,Huehuetenango,not disclosed,Very Dark,fudge    vanilla    rich
Climate Project,Ceremony Coffee Roasters,Mexico,not disclosed,"Bourbon, Caturra, Typica, Mundo Novo",Medium,chocolate    almond    balanced
Espresso Blend,Sisters Coffee Company,"Colombia, Peru, Rwanda","Antioquia, Chanchamayo, Nyampinga","Castillo, Colombia, Red Bourbon, Caturra",Medium,praline    melon    balanced
Ethiopia Guji,Kuma Coffee,Ethiopia,Guji,Ethiopian Heirloom,Medium-light,citrus    wildflowers    complex
Elevation Cold Brew,Dillanos Coffee Roasters,not disclosed,Central and South America,various,Medium-dark,chocolate    hazelnut    full bodied
Sugar Bee Espresso,Tony's Coffee,not disclosed,"Latin America, Africa",not disclosed,Medium,milk chocolate    honey    syrupy
High Desert Sunrise,Sisters Coffee Company,"Colombia, Peru","Tolima, Chanchamayo","Bourbon, Caturra, Castillo, Colombia",Medium,chocolate    hazelnut    balanced
Guatemalan Palo Blanco,Noble Coffee Roasting,Guatemala,Huehuetenango,"Bourbon, Caturra, Catuaí",Medium,peach    brown sugar    vibrant
Enchanted,Alma Coffee,Honduras,"Copan, Honduras","Lempira, Cafe 90",Medium-dark,dark chocolate    nutty    rich
Decaf Espresso Paladino ,Zoka Coffee Roasting Co,Central and South America,not disclosed,not disclosed,Medium-dark,chocolate    caramel    rich
Darker the Cherry,Portrait Coffee,Brazil,"Cerrado Mineiro, Minas Gerais",Catuaí,Medium-dark,chocolate    toasted walnut    rich
Peru Valle Inca,Temple Coffee,Peru,Cusco,"Caturra, Typica, Bourbon",Medium-light,almond    orange    delicate
Zingo Espresso,Topeca Coffee Roasters,"Brazil, El Salvador, Sumatra and Ethiopia",not disclosed,not disclosed,Medium,chocolate    fruity    rich
Essence,Alma Coffee,Honduras,Copan,Parainema,Medium-dark,dark chocolate    almond    balanced
Streetlevel ,Verve Coffee Roasters,"Colombia, Honduras, Guatemala",not disclosed,not disclosed,Medium-light,red apple    citrus    balanced
Tigerwalk Espresso,Equator Coffees & Teas,"Colombia, Brazil, Kenya",not disclosed,not disclosed,Medium,chocolate    fruity    balanced
Banner Dark,Sightglass Coffee,"Guatemala, Colombia",Central & South America,not disclosed,Medium-dark,cocoa    toffee    rich
Desert City Dark,Cartel Roasting Co.,"Brazil, Guatemala",not disclosed,not disclosed,Medium-dark,chocolate    macadamia nut    full bodied
Colombia La Piramide,Tandem Coffee Roasters,Colombia,Inzá,"Caturra, Typica",Medium-light,red apple    sugar cane    juicy
Porch Session,Topeca Coffee Roasters,"Brazil, El Salvador",not disclosed,not disclosed,Medium,caramel    chocolate    rich
Little Buddy Blend,Olympia Coffee Roasting Co,"Ethiopia, Kenya",not disclosed,not disclosed,Medium-light,stone fruit    chocolate    complex
