,coffee_title,roaster,coffee_origin,coffee_region,variety,farmer,roast_level,flavor,coffee_type,altitude
0,Kenya Ichamama,Panther Coffee Roasters,Kenya,Nyeri,"SL-28, SL-34, Ruiru 11, Batian",Othaya Farmers Cooperative Society,Light,"['nectarine', 'jasmine', 'bright']",Single Origin,1850
1,Papua New Guinea AAK Cooperative,Sightglass Coffee,Papua New Guinea,"Obura-Wonenara, Eastern Highlands","Bourbon, Caturra",AAK Cooperative,Medium,"['pomegranate', 'lemon', 'complex']",Single Origin,1500-1650
2,Cold Brew ,Barefoot Coffee Roasters,Guatemala,Huehuetenango,,,Medium,"['chocolate', 'citrus', 'rich']",Single Origin,
3,Capital Cold Brew Blend,Temple Coffee,"Brazil, Colombia, Ethiopia","Campos Altos, Guji, Huila",,,Medium,"['cherry', 'milk chocolate', 'vibrant']",Blend,1000-2000
4,Ethiopia Dur Feres,Methodical Coffee,Ethiopia,Sidama,"74/158, 74/110, Setami, Mikicho",various small producers,Medium-light,"['blueberry', 'blackberry', 'juicy']",Single Origin,1800
5,Bona Fide,Goshen Coffee Company,Various,Latin America,,Various,Medium,"['chocolate', 'berries', 'syrupy']",Blend,900 - 1600
6,Nicaragua Josefina & Mario,Dawson Taylor Coffee Roasters,Nicaragua,"Jinotega, Nicaragua","Catuaí, Caturra Estrella",Josefina and Mario Gonzalez,Medium-light,"['peach', 'orange blossom', 'juicy']",Single Origin,1325
7,Bright Blend,Kuma Coffee,"Ethiopia, Kenya","Guji, Yirgacheffe, Nyeri","Ethiopian heirloom, SL-28, SL-34",Small Holder,Medium,"['citrus', 'berries', 'bright']",Blend,1700-2100
8,Double Star Decaf,Cartel Roasting Co.,Mexico,"La Concordia, Mexico","Mundo Novo, Catuaí, Caturra & Catimor","Octavio Moguel Farrera, Juan José Moguel Orantes",Medium,"['cocoa', 'almond', 'balanced']",,1250–1550
9,Pink Lady Blend,Methodical Coffee,Ethiopia,"Guji, Sidama","Ethiopian heirloom, 74/158, 74/110, Setami, Mikicho",,Medium,"['citrus', 'berries', 'vibrant']",Blend,1800
10,Leticia Lopez Honey Process,Alma Coffee,Honduras,Copan,Parainema,Leticia Lopez Hutchins,Light,"['red grape', 'black tea', 'complex']",Single Origin,1400
11,Tulsa Time Blend,Topeca Coffee Roasters,"Burundi, Ethiopia",,"Ethiopian heirloom, Bourbon","Mt. Kayon Farm, Procosta Nkanda Coop",Medium,"['berries', 'citrus', 'vibrant']",Blend,1700 - 2200
12,Ethiopia Limu Gera,Kaldi's Coffee Roasting Co,Ethiopia,Limu,Ethiopian heirloom,Gera Estate,Medium-light,"['apricot', 'citrus', 'delicate']",Single Origin,1800 - 2100
13,Bright Eyed Breakfast,Goshen Coffee Company,Various,"Africa, Latin America",Various,Various,Medium-light,"['brown sugar', 'almond', 'vibrant']",Blend,900 - 1800
14,Sumatra Pantan Musara,Sisters Coffee Company,Sumatra,Aceh,"Catimor, Gayo 1 & 2",Pantan Musara wet mill,Medium-light,"['molasses', 'cardamom', 'velvety']",Single Origin,1550
15,Fresh Perspective Ethiopia,Greater Goods Coffee Roasters,Ethiopia,"Shakiso, Guji",Ethiopian heirloom,"Bishan Dimo, Faysel and Hakime Yonis",Light,"['blueberry', 'strawberry', 'juicy']",Single Origin,1850 - 2050
16,Panorama Organic Blend,Wonderstate Coffee,Ethiopia,Gedeb,,Danche Washing Station,Medium,"['orange', 'floral', 'bright']",Blend,
17,Southern Weather Blend,Onyx Coffee Lab,"Colombia, Ethiopia",,,various small holder producers,Medium-light,"['chocolate', 'citrus', 'juicy']",Blend,1850
18,Heartstrings Organic Blend,Wonderstate Coffee,Ethiopia,"Gedeb, Gera",,"Danche, Sakaro, & Haile Figa Washing Stations, Nano Challa Cooperative",Medium,"['chocolate', 'dried fruit', 'complex']",Blend,
