,coffee_title,coffee_region,variety,production,roast,review_text,coffee_country
0,Spezialitätenkaffee „Nicaragua Maragogype“,Matagalpa,Maragogype,washed,medium," Honig, Karamell, Gewürze",Nicaragua
1,Sortenreine Kaffeebohnen „DR Congo Kivu“,Kivu,Bourbon,washed,dark," Marzipan, getrocknete Datteln, dunkle Schokolade",DR Congo
2,Spezialitätenkaffee „Papua New Guinea Sigri“,Wahgi Valley,Caturra,washed,medium," Lebkuchen, schwarzer Tee, Honig",Papua New Guinea
3,Spezialitätenkaffee „El Salvador Santa Petrona“,Santa Ana  ,Pacamara,natural,medium," Marzipan, Schokolade, Zitronenschale",El Salvador 
4,Spezialitätenkaffee „Ethiopia Burtukaana“,Guji,Heirloom,natural,medium," Rhabarber, Heidelbeere, Vanille",Ethiopia
5,Spezialitätenkaffee „Jamaica Blue Mountain“,"Clydesdale, Blue Mountains",Blue Mountain,washed,medium," Tamarinde, Orange, Vollmilchschokolade",Jamaica 
6,Sortenreine Kaffeebohnen „Kopi Luwak“,Zentral-Java,Typica,luwak,medium," Schokolade, Haselnuss, Karamell",Honduras
7,Spezialitätenkaffee „Ethiopia Yirgacheffe“,Yirgacheffee,Heriloom,washed,medium," Heidelbeere, Schwarze Johannisbeere, Vanille",Ethiopia
8,Spezialitätenkaffee „Indonesia Sumatra“,"Sumatra, Aceh, Gayo","Tim tim, Ateng",giling basah,dark," Rotwein, brauner Zucker, Zimt",Indonesia
9,Spezialitätenkaffee „Ethiopia Shakisso“,Guji,Heriloom,washed,medium," Heidelbeere, Brombeere, Jasmin",Ethiopia
10,Spezialitätenkaffee „Ethiopia Burtukaana“,Guji,Heirloom,natural,medium," Rhabarber, Heidelbeere, Vanille",Ethiopia
11,Spezialitätenkaffee „Kenya Kariru“,Kirinyaga  ,"SL 34, SL 28",washed,medium," Himbeere, rote Johannisbeere, Apfel",Kenya
12,Spezialitätenkaffee „Nicaragua Maragogype“,Matagalpa,Maragogype,washed,medium," Honig, Karamell, Gewürze",Nicaragua
13,Kaffeebohnen Vero Coffee House „Nicaragua San Jose Javanica“,Jinotega,100% Arabica Javanica,anaerob,light," Karamell, Aprikosen, Kakao",Nicaragua  
14,Spezialitätenkaffee Vero Coffee House „Honduras La Quebrada“,"Intibuca, Pozo Negro",100% Arabica IH-90/Aramosa  ,washed,medium," Äpfel, dunkle Pflaumen, Pfirsiche",Honduras 
15,Spezialitätenkaffee Vero Coffee House „Honduras La Quebrada“,"Intibuca, Pozo Negro",100% Arabica IH-90/Aramosa  ,washed,medium," Äpfel, dunkle Pflaumen, Pfirsiche",Honduras 
16,Spezialitätenkaffee Vero Coffee House „Ethiopia Hambela“,Guji,100% Arabica Heirloom,natural,light," Erdbeeren, Kirschen, Passionsfrucht",Ethiopia
17,Kaffeebohnen Vero Coffee House „Nicaragua San Jose Javanica“,Jinotega,100% Arabica Javanica,anaerob,light," Karamell, Aprikosen, Kakao",Nicaragua  
18,Spezialität gemahlener Kaffee „Kenya Kariru“,Kirinyaga  ,"SL 34, SL 28",washed,medium," Himbeere, rote Johannisbeere, Apfel",Kenya
